Title,Molecule,Target,pIC50
CHEMBL81485,CNCC1CC2c3ccccc3Cc4ccccc4N2O1,A2a,6.36
CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc4ccccc4N2O1,A2a,6.43
CHEMBL6437,CN1CCN2c3ccccc3Cc4ccccc4C2C1,A2a,7.525
CHEMBL315772,CN(C)CC1CC2c3ccccc3Cc4ccc(cc4N2O1)Cl,A2a,6.32
CHEMBL133455,CC(Cc1c[nH]c2c1c3c(cc2)OCCC3)N,A2a,4.72
CHEMBL138809,COC1c2ccccc2C3(O1)CCN(CC3)Cc4ccccc4,A2a,5.21
CHEMBL138458,COC1Cc2ccccc2C3(O1)CCN(CC3)CCCc4ccccc4,A2a,5.51
CHEMBL141209,COC1Cc2ccccc2C3(O1)CCN(CC3)Cc4ccccc4,A2a,5.52
CHEMBL162436,c1ccc(cc1)Cc2c(c(=O)n3ccccc3n2)CCN4CCc5c(c6ccccc6o5)C4,A2a,8.66
CHEMBL164612,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5cccc(c5o4)Cl)C3,A2a,9.05
CHEMBL162490,Cc1c(c(=O)n2cccc(c2n1)OC)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.53
CHEMBL351483,Cc1c(c(=O)n2cc(ccc2n1)Cl)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.67
CHEMBL165677,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5cc(ccc5o4)Cl)C3,A2a,8.41
CHEMBL165350,Cc1c(c(=O)n2cc(ccc2n1)Br)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.45
CHEMBL165796,Cc1ccn2c(c1)nc(c(c2=O)CCN3CCc4c(c5ccccc5o4)C3)C,A2a,9.35
CHEMBL162058,Cc1c(c(=O)n2cc(c(cc2n1)OC)OC)CCN3CCc4c(c5ccccc5o4)C3,A2a,8.45
CHEMBL162501,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.26
CHEMBL165776,Cc1c(c(=O)n2ccccc2n1)CCCN3CCc4c(c5ccccc5o4)C3,A2a,7.99
CHEMBL162826,Cc1c(c(=O)n2cccc(c2n1)O)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.16
CHEMBL10316,c1ccc2c(c1)OCC(O2)C3=NCCN3,A2a,8.08
CHEMBL163247,Cc1c(c(=O)n2cc(cc(c2n1)Cl)Cl)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.23
CHEMBL162232,Cc1cc(n2c(c1)nc(c(c2=O)CCN3CCc4c(c5ccccc5o4)C3)C)C,A2a,9.47
CHEMBL351200,Cc1cccn2c1nc(c(c2=O)CCN3CCc4c(c5ccccc5o4)C3)C,A2a,9.22
CHEMBL162147,Cc1c(c(=O)n2cc(cc(c2n1)Cl)C(F)(F)F)CCN3CCc4c(c5ccccc5o4)C3,A2a,8.93
CHEMBL162682,Cc1c(c(=O)n2cc(ccc2n1)I)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.62
CHEMBL165181,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5ccccc5s4)C3,A2a,8.76
CHEMBL654,CN1CCN2c3c(cccn3)Cc4ccccc4C2C1,A2a,7.07
CHEMBL162370,Cc1ccc2nc(c(c(=O)n2c1)CCN3CCc4c(c5ccccc5o4)C3)C,A2a,9.46
CHEMBL163190,Cc1cccc2n1c(=O)c(c(n2)C)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.54
CHEMBL84931,CN(C)CC1CC2c3ccccc3Cc4ccc(cc4N2O1)F,A2a,6.3
CHEMBL544765,c1ccc2c(c1)cccc2Cc3c[nH]cn3,A2a,5.52
CHEMBL306751,CC(c1cccc2c1cccc2)c3c[nH]cn3,A2a,5.28
CHEMBL542155,c1ccc2c(c1)cccc2C(c3c[nH]cn3)O,A2a,4.21
CHEMBL77921,Cc1cccc(c1C)C(C)c2c[nH]cn2,A2a,5.47
CHEMBL346389,c1cc(ccc1N2CCN(CC2)Cc3ccc4c(c3)OCC(=O)N4)Cl,A2a,5.96
CHEMBL180003,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,7.24
CHEMBL360081,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cc(cc(c4)OC)OC,A2a,7.15
CHEMBL181184,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.41
CHEMBL359510,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)Br,A2a,7.2
CHEMBL367355,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CNC(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,8.0
CHEMBL360117,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CNCc4ccc(cc4OC(F)(F)F)Br,A2a,7.51
CHEMBL178084,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NCc4ccc(cc4OC(F)(F)F)Br,A2a,6.77
CHEMBL180962,Cc1cccc(c1)C(=O)NC2CCC(CC2)Nc3nc4ccccc4c(n3)N(C)C,A2a,6.96
CHEMBL181632,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)C(F)(F)F,A2a,7.22
CHEMBL182235,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CN(C)Cc4ccc(cc4OC(F)(F)F)Br,A2a,7.36
CHEMBL360876,CN(C)c1c2ccccc2nc(n1)NC3CCN(CC3)Cc4ccc(cc4OC(F)(F)F)Br,A2a,6.28
CHEMBL362193,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)F,A2a,6.89
CHEMBL181099,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)C#N,A2a,6.82
CHEMBL181393,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)CNC(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.24
CHEMBL537846,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CNS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,8.11
CHEMBL181466,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)CNCc4ccc(cc4OC(F)(F)F)Br,A2a,6.44
CHEMBL181217,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)CNS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.89
CHEMBL361442,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4ccc(cc4)F,A2a,6.82
CHEMBL179878,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)Cl,A2a,7.12
CHEMBL181383,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)[N+](=O)[O-],A2a,7.01
CHEMBL360671,CN(C)c1c2ccccc2nc(n1)NC3CCN(CC3)S(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.77
CHEMBL182150,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4ccc(c(c4)F)F,A2a,6.785
CHEMBL362400,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4ccc(c(c4)Cl)Cl,A2a,7.33
CHEMBL360159,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4ccc(c(c4F)F)F,A2a,6.7
CHEMBL181727,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CN(C)S(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,7.47
CHEMBL17645,c1ccc2c(c1)cccc2S(=O)(=O)NCC3CCC(CC3)CNc4nc5ccccc5c(n4)N,A2a,7.01
CHEMBL192266,c1ccc2c(c1)c(nc(n2)NCC3CCC(CC3)CNS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br)N,A2a,7.0
CHEMBL425012,c1ccc2c(c1)cnc(n2)NCC3CCC(CC3)CNS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.85
CHEMBL195123,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CNS(=O)(=O)C,A2a,7.07
CHEMBL193666,CCCCS(=O)(=O)NCC1CCC(CC1)CNc2nc3ccccc3c(n2)N(C)C,A2a,7.24
CHEMBL193970,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)NS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,7.68
CHEMBL195810,c1ccc2c(c1)cnc(n2)NC3CCC(CC3)CNS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.89
CHEMBL195346,c1ccc2c(c1)cnc(n2)NC3CCC(CC3)NS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,7.24
CHEMBL194173,CN(C)c1c2ccccc2nc(n1)NCC3CCN(CC3)S(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,8.25
CHEMBL493091,CN(C)CCCOc1ccc(cc1Br)CCNC(=O)c2cc(c[nH]2)Br,A2a,6.73
CHEMBL461571,Cc1c(c2ccc(cc2n1Cc3cccc(c3)OC(C)C(=O)O)OC(F)(F)F)C(=O)c4ccc(cc4)Cl,A2a,5.78
CHEMBL257991,c1ccc(c(c1)c2cn3c(csc3n2)CN4CCNCC4)NC(=O)c5cnc6ccccc6n5,A2a,5.55
CHEMBL470432,CCCN1CCC(CC1)COc2c3cccn3c4c(csc4n2)C,A2a,6.05
CHEMBL475969,CC1=C(c2cc(ccc2C1)S(=O)(=O)Nc3cccc4c3cccc4)CCN(C)C,A2a,5.96
CHEMBL477650,CC1=C(c2cc(ccc2C1)NS(=O)(=O)c3csc4c3cccc4)CCN(C)C,A2a,6.16
CHEMBL584606,Cc1ccc(cc1)N2CCN(CC2)CCCn3c(=O)c(c(c(n3)C)C=C)N,A2a,6.5
CHEMBL537669,COC(=O)C1C(CCC2C1CC3c4c(c5ccccc5[nH]4)CCN3C2)O,A2a,8.44
CHEMBL584554,CCN(CC)C(=O)C1CN(C2Cc3c[nH]c4c3c(ccc4)C2=C1)C(=O)Nc5ccccc5,A2a,5.71
CHEMBL567791,Cc1cc(nc(n1)NC2CCC(CC2)NC(=O)c3ccc(cc3)Cl)N(C)C,A2a,6.14
CHEMBL568400,Cc1cc(nc(n1)NC2CCC(CC2)NC(=O)c3ccc(c(c3)Cl)Cl)N(C)C,A2a,6.89
CHEMBL583014,Cc1cc(nc(n1)NC2CCC(CC2)NC(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)N(C)C,A2a,6.7
CHEMBL567993,Cc1cccc(c1)C(=O)NC2CCC(CC2)Nc3ncc(c(n3)N(C)C)C,A2a,6.24
CHEMBL578170,Cc1ccc(cc1)C(=O)NC2CCC(CC2)Nc3ncc(c(n3)N(C)C)C,A2a,5.75
CHEMBL565551,Cc1cnc(nc1N(C)C)NC2CCC(CC2)NC(=O)c3ccc(cc3)F,A2a,6.33
CHEMBL577912,Cc1cnc(nc1N(C)C)NC2CCC(CC2)NC(=O)c3ccc(cc3)Cl,A2a,5.8
CHEMBL577904,Cc1cnc(nc1N(C)C)NC2CCC(CC2)CNC(=O)c3ccc(c(c3)F)F,A2a,6.68
CHEMBL566075,Cc1cnc(nc1N(C)C)NC2CCC(CC2)CNC(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,A2a,6.51
CHEMBL605938,c1cc2c(cc1NS(=O)(=O)c3c(nc4n3ccs4)Cl)C(=CC2)C5CCNC5,A2a,6.05
CHEMBL593889,CC1=C(c2cc(ccc2C1)NS(=O)(=O)c3c(nc4n3ccs4)Cl)C5CCCN(C5)C,A2a,5.92
CHEMBL1083787,c1cc(ccc1c2ccc(cn2)NC(=O)NCCCCN3CCCCC3)F,A2a,4.46
CHEMBL221753,CC(C)(C)CC(C)(C)c1ccc(cc1)OCCOCC[N+](C)(C)Cc2ccccc2,A2a,5.51
CHEMBL493,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O,A2a,7.82
CHEMBL990,CC(C)(C)c1ccc(cc1)CN(C)Cc2cccc3c2cccc3,A2a,5.44
CHEMBL508112,c1ccc2c(c1)nc(s2)SSc3nc4ccccc4s3,A2a,6.05
CHEMBL290106,c1c(cc(c(c1Sc2cc(cc(c2O)Cl)Cl)O)Cl)Cl,A2a,5.42
CHEMBL1201203,CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4,A2a,6.26
CHEMBL296419,COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(cc5)F,A2a,5.32
CHEMBL13462,CC(=O)NC(Cc1ccc(cc1)OP(=O)(O)O)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC2CCCCC2,ABL1,5.1
CHEMBL414123,CCC(C)C(C(=O)NC(Cc1ccc(cc1)O)C(=O)NC(CC(C)C)C(=O)O)NC(=O)C2CCCN2C(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc3ccc(cc3)OP(=O)(O)O)NC(=O)C(CCC(=O)N)NC(=O)C4CCCN4C(=O)C(CCC(=O)O)N,ABL1,5.18
CHEMBL413629,CCC(C)C(C(=O)NC(Cc1ccc(cc1)O)C(=O)NC(CC(C)C)C(=O)O)NC(=O)C2CCCN2C(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc3ccc(cc3)C(F)(F)P(=O)(O)O)NC(=O)C(CCC(=O)N)NC(=O)C4CCCN4C(=O)C(CCC(=O)O)N,ABL1,5.31
CHEMBL301845,CCC(C(=O)N(C)CCCC1CCCCC1)NC(=O)C(Cc2ccc(cc2)OP(=O)(O)O)NC(=O)C,ABL1,4.41
CHEMBL58478,CC(=O)NC(Cc1ccc(cc1)C(F)(F)P(=O)(O)O)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC2CCCCC2,ABL1,5.725
CHEMBL298813,CCC(C(=O)N(C)CCCC1CCCCC1)NC(=O)C(Cc2ccc(cc2)C(F)(F)P(=O)(O)O)NC(=O)C,ABL1,5.6
CHEMBL293803,CC(=O)NC(Cc1ccc(cc1)OP(=O)(O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC2CCCCC2)C(=O)N,ABL1,5.235
CHEMBL294692,CC(=O)NC(Cc1ccc(cc1)C(F)(F)P(=O)(O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC2CCCCC2)C(=O)N,ABL1,5.885
CHEMBL294420,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(cc1)C(F)(F)P(=O)(O)O)NC(=O)C,ABL1,5.6
CHEMBL299477,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(cc1)OP(=O)(O)O)NC(=O)C,ABL1,4.96
CHEMBL57393,CC(=O)NC(Cc1ccc(cc1)P(=O)(O)O)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC2CCCCC2,ABL1,4.85
CHEMBL58421,CCC(C(=O)N(C)CCCC1CCCCC1)NC(=O)C(Cc2ccc(cc2)P(=O)(O)O)NC(=O)C,ABL1,4.715
CHEMBL56697,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(cc1)P(=O)(O)O)NC(=O)C,ABL1,4.66
CHEMBL80030,CN(C)CC(=C)C(=O)c1ccc(cc1)OS(=O)(=O)c2ccc(cc2)C(=O)O,ABL1,4.3
CHEMBL44,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O,ABL1,5.0
CHEMBL552634,CN(C)CC(=C)C(=O)c1ccc(cc1)OS(=O)(=O)c2ccc(cc2)C(=O)N(C)C,ABL1,4.16
CHEMBL325023,Cc1c(sc(n1)C)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)NN5CCN(CC5)C,ABL1,4.75
CHEMBL60816,c1ccnc(c1)c2ccnc(n2)Nc3cccc(c3)[N+](=O)[O-],ABL1,5.92
CHEMBL20867,Cc1ccc(cc1)C(=O)Nc2ccc(c(c2)Nc3nccc(n3)c4cccnc4)C,ABL1,7.2
CHEMBL941,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,ABL1,6.5963335
CHEMBL21162,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)Cl,ABL1,6.1
CHEMBL300817,c1cc(cc(c1)Cl)Nc2nccc(n2)c3cccnc3,ABL1,5.82
CHEMBL277931,c1ccc(cc1)C(=O)Nc2cccc(c2)Nc3nccc(n3)c4cccnc4,ABL1,6.4
CHEMBL57556,c1cc(cc(c1)Nc2nccc(n2)c3cccnc3)C(=O)O,ABL1,5.1
CHEMBL20252,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc5ccccc5c4,ABL1,6.7
CHEMBL423288,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)C,ABL1,5.24
CHEMBL418279,c1cc(cc(c1)NC(=O)c2ccc(cc2)F)Nc3nccc(n3)c4cccnc4,ABL1,6.7
CHEMBL55683,c1cc(cc(c1)[N+](=O)[O-])Nc2nccc(n2)c3ccncc3,ABL1,4.22
CHEMBL59099,c1cc(cc(c1)Nc2nccc(n2)c3cccnc3)C(=O)NCCCN,ABL1,6.4
CHEMBL57443,c1cc(cc(c1)Nc2nccc(n2)c3ccncc3)N,ABL1,6.22
CHEMBL56669,CCCCCC(=O)Nc1cccc(c1)Nc2nccc(n2)c3cccnc3,ABL1,6.7
CHEMBL58436,c1cc(cc(c1)OCCn2ccnc2)Nc3nccc(n3)c4cccnc4,ABL1,6.0
CHEMBL59036,Cc1ccc(cc1)C(=O)Nc2cccc(c2)Nc3nccc(n3)c4cccnc4,ABL1,6.0
CHEMBL299707,COc1ccccc1C(=O)Nc2cccc(c2)Nc3nccc(n3)c4cccnc4,ABL1,5.72
CHEMBL291963,c1cc(cc(c1)n2ccnc2)Nc3nccc(n3)c4cccnc4,ABL1,5.48
CHEMBL292866,c1ccnc(c1)C(=O)Nc2cccc(c2)Nc3nccc(n3)c4cccnc4,ABL1,5.42
CHEMBL56671,COC(=O)c1cccc(c1)Nc2nccc(n2)c3cccnc3,ABL1,5.29
CHEMBL55379,c1ccc2c(c1)c(c[nH]2)c3ccnc(n3)Nc4cccc(c4)OC(C(F)F)(F)F,ABL1,6.43
CHEMBL55742,c1ccc(c(c1)C(=O)Nc2cccc(c2)Nc3nccc(n3)c4cccnc4)C(=O)O,ABL1,5.7
CHEMBL56904,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)Nc4nccc(n4)c5cccnc5,ABL1,7.0
CHEMBL418270,c1cc(cc(c1)NC(=O)c2cccnc2)Nc3nccc(n3)c4cccnc4,ABL1,6.82
CHEMBL293991,c1cc(cc(c1)OC(C(F)F)(F)F)Nc2nccc(n2)c3cccc4c3ccn4CCCN,ABL1,6.46
CHEMBL418010,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccccc4OC,ABL1,6.1
CHEMBL56359,c1cc(cc(c1)NC(=O)c2cccs2)Nc3nccc(n3)c4cccnc4,ABL1,6.52
CHEMBL20926,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccccc4,ABL1,5.65
CHEMBL278103,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)N,ABL1,5.82
CHEMBL57690,c1ccc(cc1)Nc2nccc(n2)c3cccnc3,ABL1,5.75
CHEMBL55592,c1cc(cc(c1)NC(=O)c2ccncc2)Nc3nccc(n3)c4cccnc4,ABL1,6.3
CHEMBL57553,c1cc(cc(c1)Nc2nccc(n2)c3cccnc3)N,ABL1,6.16
CHEMBL56081,c1cc(cc(c1)[N+](=O)[O-])Nc2nccc(n2)c3cccnc3,ABL1,4.47
CHEMBL58142,c1cc(cc(c1)NC(=O)C2CCCCC2)Nc3nccc(n3)c4cccnc4,ABL1,6.35
CHEMBL58580,c1cc(cc(c1)NC(=O)c2ccc(cc2)C#N)Nc3nccc(n3)c4cccnc4,ABL1,5.89
CHEMBL332612,c1cc(cc(c1)Cl)Nc2c3c([nH]nc3ncn2)Nc4ccc(cc4)N,ABL1,5.93
CHEMBL332333,c1ccc(cc1)Nc2c3c([nH]nc3Nc4ccccc4)ncn2,ABL1,5.71
CHEMBL332882,c1cc(cc(c1)N)c2c3c(ncnc3Nc4cccc(c4)Cl)n[nH]2,ABL1,5.51
CHEMBL120979,COc1cccc(c1)Nc2c3c(ncnc3Nc4cccc(c4)Cl)n[nH]2,ABL1,5.47
CHEMBL153843,c1ccc(c(c1)C(=O)Nc2cccc(c2)C(F)(F)F)NCc3ccncc3,ABL1,5.55
CHEMBL121796,c1ccc(cc1)CNc2c3c([nH]n2)ncnc3Nc4cccc(c4)Cl,ABL1,5.18
CHEMBL121190,c1cc(cc(c1)Cl)Nc2c3c(ncnc3[nH]n2)N,ABL1,6.39
CHEMBL331906,c1cc(cc(c1)O)c2c3c(ncnc3Nc4cccc(c4)Cl)n[nH]2,ABL1,6.75
CHEMBL332906,c1cc(cc(c1)Cl)Nc2c3c([nH]nc3ncn2)c4ccc(cc4)N,ABL1,5.44
CHEMBL122068,c1cc(cc(c1)Cl)Nc2c3c(nc(nc3n[nH]2)N)N,ABL1,6.39
CHEMBL332971,COc1ccc(cc1)c2c3c(ncnc3Nc4cccc(c4)Cl)n[nH]2,ABL1,4.78
CHEMBL123189,COc1cccc(c1)CNc2c3c(ncnc3Nc4cccc(c4)Cl)n[nH]2,ABL1,5.46
CHEMBL333038,c1cc(cc(c1)Cl)Nc2c3c([nH]nc3Nc4cccc(c4)Cl)ncn2,ABL1,5.7
CHEMBL120319,c1cc(cc(c1)Cl)Nc2c3c(ncnc3Nc4cccc(c4)Br)n[nH]2,ABL1,5.87
CHEMBL121260,c1ccc(cc1)Nc2c3c([nH]nc3ncn2)Nc4cccc(c4)Cl,ABL1,5.87
CHEMBL121954,c1cc(cc(c1)O)Nc2c3c(ncnc3Nc4cccc(c4)Cl)n[nH]2,ABL1,6.59
CHEMBL24828,CN1CCC(CC1)COc2cc3c(cc2OC)c(ncn3)Nc4ccc(cc4F)Br,ABL1,6.945
CHEMBL29197,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)Br,ABL1,7.52
CHEMBL122182,c1cc(cc(c1)Cl)Nc2c3c([nH]nc3ncn2)Nc4ccc(cc4)O,ABL1,6.82
CHEMBL347537,c1ccc2c(c1)cncc2c3cccc(c3)NC(=O)c4ccccc4NCc5ccncc5,ABL1,5.27
CHEMBL120069,Cc1cccc(c1)Nc2c3c([nH]nc3Nc4cccc(c4)Cl)ncn2,ABL1,5.78
CHEMBL119977,c1ccc(cc1)c2c3c([nH]n2)ncnc3Nc4cccc(c4)Cl,ABL1,5.43
CHEMBL118130,c1cc(cc(c1)Cl)Nc2c3c([nH]nc3ncn2)c4ccc(cc4)O,ABL1,6.62
CHEMBL343050,CC(C)C(C(=O)NC(C)C(=O)NCCc1ccccc1)NC(=O)C(Cc2ccc(cc2)OP(=O)(O)O)NC(=O)C,ABL1,4.14
CHEMBL137653,CCCCCCCCN(CCCCCCCC)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C(Cc1ccc(cc1)OP(=O)(O)O)NC(=O)C,ABL1,4.02
CHEMBL327958,CCCCN(CCCC)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C(Cc1ccc(cc1)OP(=O)(O)O)NC(=O)C,ABL1,5.13
CHEMBL137706,CCCCCCN(CCCCCC)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C(Cc1ccc(cc1)OP(=O)(O)O)NC(=O)C,ABL1,5.3
CHEMBL405059,CCCCCN(CCCCC)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C(Cc1ccc(cc1)OP(=O)(O)O)NC(=O)C,ABL1,4.59
CHEMBL136289,CC(C)C(C(=O)NC(C)C(=O)NCCC1CCCCC1)NC(=O)C(Cc2ccc(cc2)OP(=O)(O)O)NC(=O)C,ABL1,4.59
CHEMBL185775,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)N4CCCCC4,ABL1,6.03
CHEMBL186652,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)Nc4cccc(c4)Cl,ABL1,6.76
CHEMBL187080,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)Nc4cccnc4,ABL1,6.0
CHEMBL434335,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)Nc4cccc(c4)N(C)C,ABL1,7.25
CHEMBL365673,CCN(CC)c1cccc(c1)NC(=O)Nc2ccc(c(c2)Nc3nccc(n3)c4cccnc4)C,ABL1,6.55
CHEMBL184742,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)Nc4cccc(c4)N5CCCC5,ABL1,7.28
CHEMBL365277,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)Nc4ccccc4CN(C)C5CCCCC5,ABL1,6.06
CHEMBL388978,CC12C(C(CC(O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC,ABL1,6.877143
CHEMBL288441,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC,ABL1,8.506
CHEMBL195029,COc1cc2cc3c(cc2cc1OCCN4CCOCC4)ncc(c3Nc5cc(c(cc5Cl)Cl)OC)C#N,ABL1,6.31
CHEMBL120077,COc1cc2c(cc1OC)-c3c(c([nH]n3)Nc4cccc(c4)F)C2,ABL1,7.66
